top.pd2.cpu1 loadEvent,top.pd2.cpu1 storeEvent,time(us)
0,0,258
1,0,259
0,0,260
1,0,261
0,0,262
0,1,263
0,0,264
1,0,265
0,0,266
1,0,267
0,0,268
0,1,269
0,0,270
1,0,271
0,0,272
1,0,273
0,0,274
0,1,275
0,0,276
0,1,277
0,0,278
0,1,279
0,0,280
0,1,281
0,0,282
1,0,283
0,0,284
1,0,285
0,0,286
0,1,287
0,0,288
0,1,289
0,0,290
0,1,291
0,0,292
1,0,293
0,0,294
1,0,295
0,0,296
0,1,297
0,0,298
1,0,299
0,0,300
1,0,301
0,0,302
1,0,303
0,0,304
1,0,305
0,0,306
0,1,307
0,0,308
1,0,309
0,0,310
0,1,311
0,0,312
1,0,313
0,0,314
1,0,315
0,0,316
0,1,317
0,0,318
0,1,319
0,0,320
0,1,321
0,0,322
0,1,323
0,0,324
1,0,325
0,0,326
0,1,327
0,0,328
1,0,329
0,0,330
0,1,331
0,0,332
0,1,333
0,0,334
1,0,335
0,0,336
1,0,337
0,0,338
1,0,339
0,0,340
1,0,341
0,0,342
1,0,343
0,0,344
1,0,345
0,0,346
1,0,347
0,0,348
1,0,349
0,0,350
0,1,351
0,0,352
1,0,353
0,0,354
0,1,355
0,0,356
0,1,357
0,0,358
0,1,359
0,0,360
0,1,361
0,0,362
0,1,363
0,0,364
0,1,365
0,0,366
0,1,367
0,0,368
0,1,369
0,0,370
1,0,371
0,0,372
1,0,373
0,0,374
1,0,375
0,0,376
0,1,377
0,0,378
1,0,379
0,0,380
1,0,381
0,0,382
1,0,383
0,0,384
0,1,385
0,0,386
0,1,387
0,0,388
1,0,389
0,0,390
0,1,391
0,0,392
1,0,393
0,0,394
1,0,395
0,0,396
0,1,397
0,0,398
1,0,399
0,0,400
1,0,401
0,0,402
1,0,403
0,0,404
0,1,405
0,0,406
1,0,407
0,0,408
0,1,409
0,0,410
0,1,411
0,0,412
1,0,413
0,0,414
1,0,415
0,0,416
0,1,417
0,0,418
0,1,419
0,0,420
0,1,421
0,0,422
1,0,423
0,0,424
0,1,425
0,0,426
1,0,427
0,0,428
0,1,429
0,0,430
1,0,431
0,0,432
1,0,433
0,0,434
1,0,435
0,0,436
0,1,437
0,0,438
0,1,439
0,0,440
0,1,441
0,0,442
1,0,443
0,0,444
0,1,445
0,0,446
1,0,447
0,0,448
0,1,449
0,0,450
0,1,451
0,0,452
1,0,453
0,0,454
0,1,455
0,0,456
0,1,457
0,0,458
1,0,459
0,0,460
1,0,461
0,0,462
0,1,463
0,0,464
1,0,465
0,0,466
0,1,467
0,0,468
0,1,469
0,0,470
1,0,471
0,0,472
0,1,473
0,0,474
1,0,475
0,0,476
0,1,477
0,0,478
1,0,479
0,0,480
1,0,481
0,0,482
1,0,483
0,0,484
0,1,485
0,0,486
0,1,487
0,0,488
0,1,489
0,0,490
1,0,491
0,0,492
0,1,493
0,0,494
1,0,495
0,0,496
1,0,497
0,0,498
